"OriginalName" "TidyName"
"1" "tBodyAcc-mean()-X" "TimeBodyAccuracyMeanX"
"2" "tBodyAcc-mean()-Y" "TimeBodyAccuracyMeanY"
"3" "tBodyAcc-mean()-Z" "TimeBodyAccuracyMeanZ"
"4" "tBodyAcc-std()-X" "TimeBodyAccuracyStandardDeviationX"
"5" "tBodyAcc-std()-Y" "TimeBodyAccuracyStandardDeviationY"
"6" "tBodyAcc-std()-Z" "TimeBodyAccuracyStandardDeviationZ"
"7" "tGravityAcc-mean()-X" "TimeGravityAccuracyMeanX"
"8" "tGravityAcc-mean()-Y" "TimeGravityAccuracyMeanY"
"9" "tGravityAcc-mean()-Z" "TimeGravityAccuracyMeanZ"
"10" "tGravityAcc-std()-X" "TimeGravityAccuracyStandardDeviationX"
"11" "tGravityAcc-std()-Y" "TimeGravityAccuracyStandardDeviationY"
"12" "tGravityAcc-std()-Z" "TimeGravityAccuracyStandardDeviationZ"
"13" "tBodyAccJerk-mean()-X" "TimeBodyAccuracyJerkMeanX"
"14" "tBodyAccJerk-mean()-Y" "TimeBodyAccuracyJerkMeanY"
"15" "tBodyAccJerk-mean()-Z" "TimeBodyAccuracyJerkMeanZ"
"16" "tBodyAccJerk-std()-X" "TimeBodyAccuracyJerkStandardDeviationX"
"17" "tBodyAccJerk-std()-Y" "TimeBodyAccuracyJerkStandardDeviationY"
"18" "tBodyAccJerk-std()-Z" "TimeBodyAccuracyJerkStandardDeviationZ"
"19" "tBodyGyro-mean()-X" "TimeBodyGyroscopeMeanX"
"20" "tBodyGyro-mean()-Y" "TimeBodyGyroscopeMeanY"
"21" "tBodyGyro-mean()-Z" "TimeBodyGyroscopeMeanZ"
"22" "tBodyGyro-std()-X" "TimeBodyGyroscopeStandardDeviationX"
"23" "tBodyGyro-std()-Y" "TimeBodyGyroscopeStandardDeviationY"
"24" "tBodyGyro-std()-Z" "TimeBodyGyroscopeStandardDeviationZ"
"25" "tBodyGyroJerk-mean()-X" "TimeBodyGyroscopeJerkMeanX"
"26" "tBodyGyroJerk-mean()-Y" "TimeBodyGyroscopeJerkMeanY"
"27" "tBodyGyroJerk-mean()-Z" "TimeBodyGyroscopeJerkMeanZ"
"28" "tBodyGyroJerk-std()-X" "TimeBodyGyroscopeJerkStandardDeviationX"
"29" "tBodyGyroJerk-std()-Y" "TimeBodyGyroscopeJerkStandardDeviationY"
"30" "tBodyGyroJerk-std()-Z" "TimeBodyGyroscopeJerkStandardDeviationZ"
"31" "tBodyAccMag-mean()" "TimeBodyAccuracyMagnitudeMean"
"32" "tBodyAccMag-std()" "TimeBodyAccuracyMagnitudeStandardDeviation"
"33" "tGravityAccMag-mean()" "TimeGravityAccuracyMagnitudeMean"
"34" "tGravityAccMag-std()" "TimeGravityAccuracyMagnitudeStandardDeviation"
"35" "tBodyAccJerkMag-mean()" "TimeBodyAccuracyJerkMagnitudeMean"
"36" "tBodyAccJerkMag-std()" "TimeBodyAccuracyJerkMagnitudeStandardDeviation"
"37" "tBodyGyroMag-mean()" "TimeBodyGyroscopeMagnitudeMean"
"38" "tBodyGyroMag-std()" "TimeBodyGyroscopeMagnitudeStandardDeviation"
"39" "tBodyGyroJerkMag-mean()" "TimeBodyGyroscopeJerkMagnitudeMean"
"40" "tBodyGyroJerkMag-std()" "TimeBodyGyroscopeJerkMagnitudeStandardDeviation"
"41" "fBodyAcc-mean()-X" "FrequencyBodyAccuracyMeanX"
"42" "fBodyAcc-mean()-Y" "FrequencyBodyAccuracyMeanY"
"43" "fBodyAcc-mean()-Z" "FrequencyBodyAccuracyMeanZ"
"44" "fBodyAcc-std()-X" "FrequencyBodyAccuracyStandardDeviationX"
"45" "fBodyAcc-std()-Y" "FrequencyBodyAccuracyStandardDeviationY"
"46" "fBodyAcc-std()-Z" "FrequencyBodyAccuracyStandardDeviationZ"
"47" "fBodyAccJerk-mean()-X" "FrequencyBodyAccuracyJerkMeanX"
"48" "fBodyAccJerk-mean()-Y" "FrequencyBodyAccuracyJerkMeanY"
"49" "fBodyAccJerk-mean()-Z" "FrequencyBodyAccuracyJerkMeanZ"
